"","EIN","NAME","ICO","STREET","CITY","STATE","ZIP","NTEE_CD","totcntrbgfts","totprgmrevnue","invstmntinc","txexmptbndsproceeds","royaltsinc","netrntlinc","netgnls","netincfndrsng","netincgaming","netincsales","miscrevtot11e","totrevenue","grntstogovt","grnsttoindiv","grntstofrgngovt","benifitsmembrs","compnsatncurrofcr","compnsatnandothr","othrsalwages","pensionplancontrb","othremplyeebenef","payrolltx","feesforsrvcmgmt","legalfees","accntingfees","feesforsrvclobby","profndraising","feesforsrvcinvstmgmt","feesforsrvcothr","advrtpromo","officexpns","infotech","royaltsexpns","occupancy","travel","travelofpublicoffcl","converconventmtng","interestamt","pymtoaffiliates","deprcatndepletn","insurance","othrexpnsa","othrexpnsb","othrexpnsc","othrexpnsd","othrexpnse","totfuncexpns","totassetsend","totliabend","retainedearnend","totnetassetend","totnetliabastend"
"1",10549023,"THE PHARMACEUTICAL SECURITY INSTITUTE INC","% HUGHES HUBBARD RESNICK","8100 BOONE BLVD STE 200E","VIENNA","VA","22182-2665","E03",0,2037080,415,0,0,0,-14579,0,0,0,332,2023248,0,0,0,0,269151,0,533928,26161,36264,68751,0,56679,17153,0,0,0,133650,0,18051,7946,0,56931,4836,0,8362,87,0,1167,2734,134450,9693,3605,0,0,1389599,3059244,349000,0,2710244,3059244
"2",10557037,"SHARE AND CARE COCKAYNE SYNDROME NETWORK INC","","PO BOX 282","WATERFORD","VA","20197-0282","G20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",10654372,"COLES CLOSET","% MELISSA HASSAN","7413 SPRING TREE DR","SPRINGFIELD","VA","22153-2028","E60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",10654551,"PROSPECT COMMUNITY EMPOWERING CENTER INC","% WALTER C JOHNSON","408 DARBY RD","YORKTOWN","VA","23693-3326","E70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",10700061,"VIRGINIA RETINA FOUNDATION INC","% JOSEPH J TIMMES JR","10129 WENDOVER DR","VIENNA","VA","22181-2958","G41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",10769341,"PARENTS OF AUTISTIC CHILDREN NORTHERN VA POAC-NOVA","","PO BOX 1839","VIENNA","VA","22183-1839","G84",3171,0,19,0,0,0,0,0,0,0,0,3190,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,1212,0,0,0,0,0,0,0,0,0,1065,835,25,0,0,0,3207,19399,0,0,19399,19399
"7",10963657,"NATIONAL MEDICAL FELLOWSHIPS INC","% FRANCA GAUDIO","1199 N FAIRFAX ST STE 600","ALEXANDRIA","VA","22314-1452","E80",4023259,0,27851,0,0,0,36870,1858717,0,0,0,5946697,0,1803092,0,0,423082,0,1061036,50021,90756,93742,0,46140,60132,0,0,0,361806,7558,6519,5376,0,61826,31718,0,0,0,0,9771,13980,106535,71349,32958,26110,0,4384821,7616684,2969644,0,4647040,7616684
"8",20468153,"ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC","% APIC INC","1400 CRYSTAL DR STE 900","ARLINGTON","VA","22202-4153","E72C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",20531826,"CAMG-Q INC","","410 N CENTER DRIVE","NORFOLK","VA","23502-4146","F33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",20531832,"CAMG-R INC","% VINCENT S G","410 N CENTER DRIVE","NORFOLK","VA","23502-4146","F33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
